date,code,rank,market_mode,open_gap,stock_price,yesterday_money,yesterday_volume,circulating_market_cap,turnover_ratio,position_60d,return_5d,return_10d,return_20d,distance_ma5,distance_ma10,distance_ma20,volatility_20d,idx_drawdown_20d,idx_ma_relation,first_board_perf,fb_pct,max_boards,bear_pool_count,bear_candidate_count,candidate_rank,slots_total,held_before,slots_available,is_bought,day_open,high_limit,low_limit,close,high,low,pre_close,exit_date,exit_price,return,holding_days
2018-01-19,002783.XSHE,11,bear,-0.036999,19.73,284699328.0,14209346.0,0,0,0.425862,0.133257,0.059045,0.093681,0.09672,0.091201,0.089303,0.028472,-0.032422,ma20<=ma60,0.011982,0.285714,3,19,15,11,2,1,1,True,19.0,21.7,17.76,20.24,21.47,18.8,19.73,2018-01-22,19.47,0.0247368421052631,1
2018-01-24,002836.XSHE,6,bear,-0.03245,21.88,161181008.0,7643036.0,0,0,0.312762,0.139583,0.118609,0.121476,0.092798,0.112354,0.117296,0.028878,-0.023415,ma20<=ma60,0.023261,0.588235,3,18,9,6,2,1,1,True,21.17,24.07,19.69,21.38,21.53,20.6,21.88,2018-01-25,20.91,-0.01274787535410763,1
2018-01-25,600275.XSHG,0,bear,-0.030466,5.58,26509292.0,4875503.0,0,0,0.103448,-0.010638,-0.027875,-0.059022,0.016393,-0.004638,-0.03167,0.017497,-0.016121,ma20<=ma60,0.001704,0.166667,3,7,4,0,2,1,1,True,5.41,5.86,5.3,5.42,5.55,5.36,5.58,2018-01-26,5.55,0.023985239852398504,1
2018-03-02,000670.XSHE,0,bear,-0.032028,5.62,264306192.0,48583104.0,0,0,0.438356,0.185654,0.156379,-0.071074,0.095517,0.134895,0.131696,0.061936,-0.056326,ma20<=ma60,0.025299,0.692308,3,38,13,0,2,1,1,True,5.44,6.18,5.06,5.46,5.58,5.35,5.62,2018-03-05,5.49,0.00733944954128441,1
2018-03-08,600749.XSHG,4,bear,-0.030265,15.86,77385552.0,5014237.0,0,0,0.345401,0.116901,0.151779,-0.053699,0.084519,0.107155,0.145292,0.049732,-0.007024,ma20<=ma60,0.001364,0.209302,3,18,6,4,2,1,1,True,15.38,17.45,14.27,15.51,15.9,15.18,15.86,2018-03-09,15.41,0.0012995451591942542,1
2018-05-31,601069.XSHG,3,bear,-0.035288,19.27,1020114304.0,51895256.0,0,0,0.424032,0.021198,0.008901,0.022281,0.036579,0.028501,-0.002665,0.033735,-0.073164,ma20<=ma60,-0.00566,0.15,3,5,4,3,2,1,1,True,18.59,21.2,17.34,20.08,20.52,18.5,19.27,2018-06-01,20.3,0.09198493813878433,1
2018-06-06,000982.XSHE,0,bear,-0.031915,1.88,30638238.0,16538343.0,0,0,0.060403,-0.06,-0.248,-0.351724,0.001065,-0.082031,-0.192266,0.033358,-0.060671,ma20<=ma60,0.045663,0.933333,3,20,7,0,2,1,1,True,1.82,1.97,1.79,1.85,1.91,1.8,1.88,2018-06-07,1.87,0.027472527472527496,1
2018-06-11,002427.XSHE,0,bear,-0.035714,9.24,169153520.0,19138826.0,0,0,0.107992,-0.039501,-0.109827,0.20156,0.039136,-0.019837,-0.004257,0.041232,-0.077099,ma20<=ma60,0.033084,0.733333,3,7,2,0,2,1,1,True,8.91,9.7,8.78,8.78,9.07,8.78,9.24,2018-06-12,8.48,-0.049327354260089634,1
2018-06-26,002849.XSHE,12,bear,-0.036281,17.64,87654248.0,5080067.0,0,0,0.238655,0.009731,-0.175258,-0.199132,0.088217,-0.00999,-0.067608,0.050461,-0.15068,ma20<=ma60,0.033767,0.716667,3,20,17,12,2,1,1,True,17.0,19.4,15.88,17.49,17.74,16.78,17.64,2018-06-27,17.09,0.0052941176470588155,1
2018-07-02,002562.XSHE,14,bear,-0.031297,6.71,302842944.0,46050260.0,0,0,0.450877,0.078778,0.17103,0.029141,0.045171,0.126784,0.090348,0.050465,-0.11264,ma20<=ma60,0.040114,0.816667,3,44,35,14,2,2,0,True,6.5,7.38,6.04,6.57,6.74,6.45,6.71,2018-07-03,6.63,0.019999999999999983,1
2018-07-02,002772.XSHE,21,bear,-0.034648,8.37,75675544.0,9256618.0,0,0,0.217277,0.05283,-0.163,-0.229282,0.074179,0.022602,-0.117135,0.038614,-0.11264,ma20<=ma60,0.040114,0.816667,3,44,35,21,2,2,0,True,8.08,9.21,7.53,8.24,8.35,7.96,8.37,2018-07-03,8.13,0.0049443757725588285,1
2018-07-04,000856.XSHE,2,bear,-0.031564,13.94,213088192.0,15758985.0,0,0,0.236702,0.106349,0.100237,-0.093628,0.086347,0.100497,-0.0,0.041822,-0.113739,ma20<=ma60,0.026293,0.633333,3,27,19,2,2,2,0,True,13.5,15.33,12.55,13.41,13.76,13.3,13.94,2018-07-05,13.04,-0.0347890451517395,1
